Epsilon , 	 Path L ,	 Time[s]
0.01 ,	1377 ,	6.61
0.01 ,	1327 ,	6.978
0.01 ,	1760 ,	11.795
0.01 ,	1557 ,	8.779
0.01 ,	1737 ,	9.507
0.01 ,	1742 ,	9.255
0.01 ,	1640 ,	9.249
0.01 ,	1751 ,	11.644
0.01 ,	1722 ,	11.398
0.01 ,	1760 ,	10.366
0.01 ,	1505 ,	6.378
0.01 ,	1688 ,	9.328
0.01 ,	1813 ,	10.965
0.01 ,	1721 ,	9.744
0.01 ,	1596 ,	7.984
0.01 ,	1480 ,	12.139
0.01 ,	1315 ,	4.937
0.01 ,	1741 ,	13.204
0.01 ,	1566 ,	7.241
0.01 ,	1755 ,	10.942
0.01 ,	1902 ,	10.415
0.01 ,	1650 ,	9.227
0.01 ,	1658 ,	8.768
0.01 ,	1485 ,	8.21
0.01 ,	1744 ,	12.191
0.01 ,	1437 ,	8.119
0.01 ,	1595 ,	9.558
0.01 ,	1483 ,	7.208
0.01 ,	1493 ,	10.092
0.01 ,	1673 ,	10.967
0.01 ,	1635 ,	8.59
0.01 ,	1634 ,	8.265
0.01 ,	1651 ,	11.373
0.01 ,	1477 ,	7.016
0.01 ,	1669 ,	9.75
0.01 ,	1548 ,	8.899
0.01 ,	1574 ,	7.886
0.01 ,	1779 ,	8.336
0.01 ,	1692 ,	8.564
0.01 ,	1651 ,	8.107
0.01 ,	1504 ,	10.849
0.01 ,	1703 ,	12.49
0.01 ,	1658 ,	10.758
0.01 ,	1711 ,	9.361
0.01 ,	1755 ,	11.604
0.01 ,	1597 ,	9.504
0.01 ,	1638 ,	7.589
0.01 ,	1698 ,	9.871
0.01 ,	1734 ,	10.766
0.01 ,	1737 ,	9.671
0.01 ,	1692 ,	9.349
0.01 ,	1862 ,	9.678
0.01 ,	1408 ,	7.775
0.01 ,	1591 ,	7.557
0.01 ,	1697 ,	9.704
0.01 ,	1753 ,	9.887
0.01 ,	1610 ,	8.648
0.01 ,	1723 ,	11.72
0.01 ,	1708 ,	8.159
0.01 ,	1705 ,	12.318
0.01 ,	1650 ,	10.403
0.01 ,	1690 ,	9.029
0.01 ,	1665 ,	9.568
0.01 ,	1624 ,	9.463
0.01 ,	1499 ,	6.713
0.01 ,	1610 ,	9.563
0.01 ,	1654 ,	9.33
0.01 ,	1797 ,	8.715
0.01 ,	1499 ,	9.983
0.01 ,	1323 ,	7.532
0.01 ,	1652 ,	9.182
0.01 ,	1519 ,	7.845
0.01 ,	1603 ,	9.567
0.01 ,	1429 ,	7.057
0.01 ,	1720 ,	9.22
0.01 ,	1700 ,	10.423
0.01 ,	1712 ,	10.606
0.01 ,	1677 ,	9.026
0.01 ,	1473 ,	5.672
0.01 ,	1551 ,	11.058
0.01 ,	1677 ,	8.539
0.01 ,	1382 ,	8.004
0.01 ,	1505 ,	5.454
0.01 ,	1541 ,	7.512
0.01 ,	1690 ,	9.573
0.01 ,	1575 ,	8.222
0.01 ,	1591 ,	8.369
0.01 ,	1463 ,	6.718
0.01 ,	1639 ,	8.973
0.01 ,	1565 ,	10.813
0.01 ,	1676 ,	10.958
0.01 ,	1701 ,	10.678
0.01 ,	1590 ,	7.285
0.01 ,	1869 ,	9.251
0.01 ,	1533 ,	8.142
0.01 ,	1613 ,	8.535
0.01 ,	1721 ,	11.619
0.01 ,	1525 ,	7.847
0.01 ,	1679 ,	7.383
0.01 ,	1686 ,	10.344
0.01 ,	1603 ,	10.547
0.01 ,	1716 ,	10.02
0.01 ,	1740 ,	11.978
0.01 ,	1614 ,	8.86
0.01 ,	1415 ,	3.855
0.01 ,	1641 ,	8.99
0.01 ,	1916 ,	10.274
0.01 ,	1749 ,	9.692
0.01 ,	1739 ,	12.36
0.01 ,	1699 ,	9.762
0.01 ,	1621 ,	8.569
0.01 ,	1676 ,	10.238
0.01 ,	1562 ,	8.132
0.01 ,	1872 ,	16.14
0.01 ,	1762 ,	7.834
0.01 ,	2090 ,	12.63
0.01 ,	1708 ,	10.015
0.01 ,	1630 ,	7.596
0.01 ,	1617 ,	8.847
0.01 ,	1298 ,	8.432
0.01 ,	1849 ,	7.188
0.01 ,	1720 ,	9.953
0.01 ,	1411 ,	7.899
0.01 ,	1884 ,	9.767
0.01 ,	1683 ,	9.771
0.01 ,	1673 ,	8.483
0.01 ,	1573 ,	9.669
0.01 ,	1735 ,	10.693
0.01 ,	1667 ,	9.271
0.01 ,	1641 ,	8.216
0.01 ,	1669 ,	8.986
0.01 ,	1606 ,	8.213
0.01 ,	1977 ,	10.698
0.01 ,	1791 ,	12.153
0.01 ,	1701 ,	10.887
0.01 ,	1682 ,	9.451
0.01 ,	1872 ,	10.63
0.01 ,	1682 ,	9.773
0.01 ,	1759 ,	9.285
0.01 ,	1807 ,	11.948
0.01 ,	1526 ,	7.119
0.01 ,	1830 ,	9.638
0.01 ,	1736 ,	10.186
0.01 ,	1681 ,	13.234
0.01 ,	1899 ,	12.208
0.01 ,	1741 ,	11.886
0.01 ,	1700 ,	10.059
0.01 ,	1612 ,	7.631
0.01 ,	1776 ,	8.936
0.01 ,	1590 ,	7.545
0.01 ,	1988 ,	12.118
0.01 ,	1723 ,	8.019
0.01 ,	1687 ,	8.934
0.01 ,	1633 ,	11.259
0.01 ,	1648 ,	7.038
0.01 ,	1581 ,	10.628
0.01 ,	1716 ,	9.292
0.01 ,	1708 ,	10.074
0.01 ,	1687 ,	10.46
0.01 ,	1755 ,	9.536
0.01 ,	1485 ,	8.965
0.01 ,	1651 ,	8.013
0.01 ,	1688 ,	9.636
0.01 ,	1405 ,	7.37
0.01 ,	1527 ,	11.891
0.01 ,	1624 ,	6.435
0.01 ,	1679 ,	11.225
0.01 ,	1741 ,	10.617
0.01 ,	1563 ,	6.248
0.01 ,	1847 ,	9.203
0.01 ,	1564 ,	7.516
0.01 ,	1494 ,	7.64
0.01 ,	1545 ,	8.473
0.01 ,	1501 ,	10.848
0.01 ,	1609 ,	8.928
0.01 ,	1776 ,	10.198
0.01 ,	1613 ,	8.628
0.01 ,	1585 ,	9.457
0.01 ,	1694 ,	11.108
0.01 ,	1444 ,	7.33
0.01 ,	1588 ,	10.03
0.01 ,	1686 ,	10.13
0.05 ,	295 ,	0.949
0.05 ,	341 ,	2.494
0.05 ,	318 ,	0.864
0.05 ,	278 ,	1.086
0.05 ,	259 ,	1.053
0.05 ,	359 ,	2.397
0.05 ,	253 ,	0.897
0.05 ,	314 ,	1.237
0.05 ,	297 ,	1.028
0.05 ,	370 ,	1.634
0.05 ,	280 ,	0.904
0.05 ,	344 ,	1.873
0.05 ,	312 ,	1.447
0.05 ,	295 ,	2.074
0.05 ,	311 ,	1.641
0.05 ,	277 ,	0.729
0.05 ,	306 ,	1.396
0.05 ,	342 ,	1.668
0.05 ,	291 ,	1.114
0.05 ,	298 ,	1.236
0.05 ,	288 ,	1.102
0.05 ,	368 ,	1.279
0.05 ,	339 ,	1.788
0.05 ,	301 ,	2.346
0.05 ,	313 ,	3.234
0.05 ,	241 ,	0.576
0.05 ,	250 ,	0.872
0.05 ,	247 ,	0.436
0.05 ,	287 ,	1.346
0.05 ,	273 ,	1.033
0.05 ,	364 ,	1.527
0.05 ,	418 ,	2.123
0.05 ,	264 ,	1.606
0.05 ,	288 ,	1.014
0.05 ,	305 ,	1.4
0.05 ,	296 ,	1.565
0.05 ,	302 ,	1.311
0.05 ,	303 ,	1.341
0.05 ,	326 ,	1.393
0.05 ,	274 ,	0.759
0.05 ,	298 ,	1.681
0.05 ,	257 ,	0.701
0.05 ,	332 ,	2.238
0.05 ,	318 ,	1.3
0.05 ,	272 ,	0.585
0.05 ,	248 ,	0.806
0.05 ,	286 ,	0.667
0.05 ,	276 ,	0.896
0.05 ,	308 ,	1.667
0.05 ,	352 ,	1.335
0.05 ,	311 ,	1.447
0.05 ,	325 ,	1.237
0.05 ,	335 ,	1.389
0.05 ,	274 ,	1.289
0.05 ,	245 ,	0.427
0.05 ,	337 ,	2.633
0.05 ,	287 ,	1.199
0.05 ,	308 ,	1.569
0.05 ,	287 ,	1.129
0.05 ,	253 ,	0.775
0.05 ,	275 ,	0.903
0.05 ,	275 ,	1.167
0.05 ,	266 ,	1.326
0.05 ,	351 ,	1.206
0.05 ,	304 ,	1.441
0.05 ,	351 ,	1.777
0.05 ,	288 ,	0.898
0.05 ,	280 ,	1.043
0.05 ,	365 ,	1.851
0.05 ,	334 ,	1.944
0.05 ,	301 ,	1.181
0.05 ,	306 ,	1.677
0.05 ,	293 ,	1.546
0.05 ,	349 ,	1.883
0.05 ,	289 ,	1.369
0.05 ,	257 ,	0.697
0.05 ,	323 ,	0.934
0.05 ,	350 ,	1.272
0.05 ,	308 ,	1.585
0.05 ,	292 ,	1.155
0.05 ,	247 ,	0.578
0.05 ,	352 ,	2.284
0.05 ,	362 ,	1.628
0.05 ,	334 ,	1.528
0.05 ,	311 ,	1.24
0.05 ,	387 ,	1.38
0.05 ,	263 ,	0.607
0.05 ,	321 ,	1.182
0.05 ,	298 ,	0.931
0.05 ,	307 ,	1.419
0.05 ,	349 ,	1.767
0.05 ,	365 ,	1.293
0.05 ,	384 ,	1.763
0.05 ,	339 ,	1.417
0.05 ,	267 ,	1.206
0.05 ,	291 ,	1.199
0.05 ,	269 ,	0.64
0.05 ,	312 ,	1.542
0.05 ,	288 ,	1.326
0.05 ,	293 ,	0.488
0.05 ,	319 ,	1.749
0.05 ,	340 ,	1.367
0.05 ,	277 ,	0.938
0.05 ,	313 ,	1.535
0.05 ,	301 ,	1.085
0.05 ,	422 ,	1.841
0.05 ,	305 ,	0.879
0.05 ,	259 ,	0.686
0.05 ,	306 ,	1.263
0.05 ,	337 ,	1.47
0.05 ,	287 ,	1.744
0.05 ,	280 ,	0.604
0.05 ,	362 ,	2.415
0.05 ,	261 ,	0.872
0.05 ,	307 ,	1.223
0.05 ,	280 ,	1.305
0.05 ,	387 ,	1.779
0.05 ,	303 ,	1.465
0.05 ,	247 ,	0.855
0.05 ,	363 ,	2.238
0.05 ,	321 ,	1.78
0.05 ,	316 ,	1.242
0.05 ,	291 ,	1.362
0.05 ,	340 ,	1.475
0.05 ,	362 ,	1.943
0.05 ,	268 ,	0.695
0.05 ,	300 ,	1.698
0.05 ,	327 ,	0.99
0.05 ,	345 ,	1.465
0.05 ,	335 ,	1.487
0.05 ,	345 ,	1.78
0.05 ,	252 ,	0.71
0.05 ,	300 ,	1.073
0.05 ,	295 ,	1.146
0.05 ,	384 ,	1.673
0.05 ,	316 ,	1.142
0.05 ,	369 ,	2.053
0.05 ,	307 ,	1.669
0.05 ,	308 ,	1.192
0.05 ,	285 ,	1.171
0.05 ,	256 ,	0.566
0.05 ,	335 ,	1.535
0.05 ,	306 ,	2.096
0.05 ,	323 ,	1.079
0.05 ,	360 ,	2.12
0.05 ,	292 ,	1.596
0.05 ,	385 ,	1.98
0.05 ,	310 ,	1.546
0.05 ,	358 ,	1.174
0.05 ,	300 ,	0.802
0.05 ,	276 ,	1.683
0.05 ,	313 ,	1.61
0.05 ,	342 ,	1.13
0.05 ,	311 ,	1.582
0.05 ,	277 ,	0.824
0.05 ,	324 ,	1.791
0.05 ,	304 ,	1.198
0.05 ,	302 ,	1.37
0.05 ,	310 ,	2.078
0.05 ,	339 ,	1.502
0.05 ,	321 ,	1.481
0.05 ,	321 ,	1.32
0.05 ,	316 ,	1.685
0.05 ,	278 ,	0.98
0.05 ,	329 ,	1.46
0.05 ,	431 ,	2.124
0.05 ,	274 ,	1.236
0.05 ,	246 ,	0.565
0.05 ,	266 ,	0.97
0.05 ,	295 ,	1.625
0.05 ,	303 ,	1.482
0.05 ,	292 ,	1.461
0.05 ,	305 ,	1.426
0.05 ,	344 ,	1.655
0.05 ,	287 ,	1.182
0.05 ,	346 ,	2.334
0.05 ,	266 ,	0.728
0.05 ,	312 ,	2.339
0.05 ,	378 ,	2.212
0.05 ,	381 ,	2.398
0.05 ,	341 ,	1.641
0.05 ,	280 ,	0.879
0.05 ,	329 ,	1.992
0.05 ,	239 ,	0.406
0.05 ,	299 ,	1.431
0.05 ,	277 ,	1.106
0.05 ,	315 ,	0.859
0.05 ,	285 ,	1.629
0.05 ,	261 ,	0.976
0.05 ,	288 ,	1.527
0.05 ,	326 ,	1.805
0.05 ,	357 ,	2.64
0.05 ,	317 ,	1.029
0.05 ,	313 ,	0.783
0.05 ,	344 ,	1.643
0.05 ,	280 ,	1.216
0.05 ,	302 ,	2.272
0.05 ,	259 ,	0.787
0.05 ,	353 ,	1.392
0.05 ,	314 ,	1.125
0.05 ,	386 ,	1.785
0.05 ,	298 ,	1.708
0.05 ,	245 ,	0.327
0.05 ,	291 ,	1.184
0.05 ,	302 ,	1.482
0.05 ,	254 ,	0.969
0.05 ,	334 ,	1.838
0.05 ,	290 ,	1.586
0.05 ,	321 ,	1.232
0.05 ,	343 ,	1.389
0.05 ,	272 ,	1.065
0.05 ,	287 ,	0.872
0.05 ,	333 ,	1.297
0.05 ,	290 ,	1.64
0.05 ,	298 ,	1.612
0.05 ,	349 ,	2.148
0.05 ,	316 ,	1.538
0.05 ,	351 ,	1.611
0.05 ,	256 ,	1.692
0.05 ,	287 ,	1.811
0.05 ,	328 ,	1.347
0.05 ,	355 ,	2.487
0.05 ,	343 ,	2.089
0.05 ,	396 ,	2.129
0.05 ,	286 ,	0.803
0.05 ,	266 ,	0.506
0.05 ,	300 ,	1.058
0.05 ,	247 ,	0.627
0.05 ,	330 ,	1.598
0.05 ,	251 ,	0.846
0.05 ,	335 ,	1.439
0.05 ,	261 ,	0.793
0.05 ,	331 ,	2.814
0.05 ,	327 ,	1.565
0.05 ,	340 ,	1.394
0.05 ,	246 ,	0.772
0.05 ,	318 ,	1.052
0.05 ,	325 ,	1.554
0.05 ,	354 ,	1.348
0.05 ,	252 ,	1.218
0.05 ,	339 ,	1.787
0.05 ,	303 ,	1.587
0.05 ,	335 ,	2.144
0.05 ,	340 ,	1.755
0.05 ,	341 ,	1.511
0.05 ,	310 ,	1.231
0.05 ,	332 ,	1.384
0.05 ,	326 ,	2.016
0.05 ,	310 ,	1.385
0.05 ,	317 ,	2.115
0.05 ,	325 ,	1.082
0.05 ,	334 ,	1.304
0.05 ,	283 ,	0.742
0.05 ,	297 ,	1.012
0.05 ,	276 ,	1.25
0.05 ,	251 ,	0.97
0.05 ,	335 ,	1.62
0.05 ,	332 ,	1.642
0.05 ,	283 ,	0.938
0.05 ,	284 ,	1.453
0.05 ,	312 ,	0.786
0.05 ,	319 ,	1.556
0.05 ,	401 ,	2.154
0.05 ,	338 ,	1.793
0.05 ,	367 ,	2.335
0.05 ,	375 ,	1.792
0.05 ,	343 ,	1.309
0.05 ,	301 ,	1.132
0.05 ,	252 ,	0.887
0.05 ,	265 ,	1.121
0.05 ,	293 ,	1.019
0.05 ,	258 ,	1.186
0.05 ,	305 ,	2.017
0.05 ,	310 ,	1.826
0.05 ,	306 ,	1.474
0.05 ,	338 ,	1.592
0.05 ,	315 ,	2.283
0.05 ,	384 ,	1.562
0.05 ,	294 ,	0.721
0.05 ,	346 ,	1.238
0.05 ,	329 ,	1.943
0.05 ,	281 ,	1.235
0.05 ,	318 ,	1.832
0.05 ,	342 ,	1.006
0.05 ,	317 ,	1.143
0.05 ,	371 ,	1.953
0.05 ,	285 ,	1.35
0.05 ,	338 ,	1.751
0.05 ,	290 ,	1.829
0.05 ,	359 ,	1.359
0.05 ,	316 ,	2.096
0.05 ,	260 ,	0.999
0.05 ,	307 ,	1.254
0.05 ,	309 ,	0.958
0.05 ,	282 ,	0.713
0.05 ,	335 ,	1.537
0.05 ,	244 ,	1.246
0.05 ,	288 ,	1.182
0.05 ,	297 ,	1.26
0.05 ,	295 ,	1.096
0.05 ,	324 ,	0.948
0.05 ,	269 ,	1.733
0.05 ,	240 ,	0.771
0.05 ,	322 ,	1.241
0.05 ,	290 ,	0.864
0.05 ,	310 ,	1.321
0.05 ,	363 ,	1.988
0.05 ,	312 ,	1.64
0.05 ,	262 ,	1.237
0.05 ,	383 ,	1.716
0.05 ,	265 ,	1.148
0.05 ,	334 ,	1.15
0.05 ,	324 ,	2.06
0.05 ,	250 ,	0.902
0.05 ,	298 ,	1.469
0.05 ,	332 ,	1.527
0.05 ,	319 ,	1.823
0.05 ,	267 ,	0.803
0.05 ,	308 ,	1.156
0.05 ,	370 ,	1.895
0.05 ,	282 ,	0.999
0.05 ,	409 ,	2.639
0.05 ,	349 ,	2.098
0.05 ,	344 ,	1.465
0.05 ,	294 ,	1.704
0.05 ,	307 ,	1.485
0.05 ,	279 ,	0.938
0.05 ,	260 ,	0.557
0.05 ,	306 ,	1.311
0.05 ,	335 ,	1.864
0.05 ,	339 ,	1.941
0.05 ,	289 ,	1.948
0.05 ,	347 ,	2.047
0.05 ,	337 ,	2.171
0.05 ,	248 ,	0.576
0.05 ,	337 ,	1.337
0.05 ,	401 ,	1.451
0.05 ,	271 ,	0.683
0.05 ,	382 ,	1.674
0.05 ,	273 ,	1.142
0.05 ,	286 ,	1.116
0.05 ,	335 ,	1.074
0.05 ,	233 ,	0.718
0.05 ,	331 ,	1.679
0.05 ,	264 ,	0.875
0.05 ,	308 ,	1.337
0.05 ,	287 ,	0.952
0.05 ,	329 ,	1.444
0.05 ,	339 ,	1.682
0.05 ,	299 ,	1.584
0.05 ,	298 ,	1.177
0.05 ,	290 ,	0.973
0.05 ,	386 ,	2.081
0.05 ,	244 ,	0.743
0.05 ,	340 ,	1.492
0.05 ,	288 ,	1.381
0.05 ,	316 ,	0.908
0.05 ,	322 ,	1.932
0.05 ,	361 ,	1.916
0.05 ,	281 ,	1.492
0.05 ,	263 ,	2.731
0.05 ,	321 ,	1.381
0.05 ,	278 ,	1.216
0.05 ,	328 ,	1.5
0.05 ,	263 ,	0.75
0.05 ,	299 ,	1.273
0.05 ,	353 ,	1.372
0.05 ,	287 ,	0.889
0.05 ,	297 ,	1.588
0.05 ,	281 ,	0.874
0.05 ,	322 ,	1.249
0.05 ,	320 ,	1.584
0.05 ,	268 ,	0.85
0.05 ,	265 ,	0.872
0.05 ,	336 ,	1.426
0.05 ,	288 ,	1.178
0.05 ,	243 ,	0.612
0.05 ,	258 ,	0.662
0.05 ,	369 ,	1.678
0.05 ,	373 ,	3.043
0.05 ,	317 ,	1.735
0.05 ,	235 ,	0.464
0.05 ,	277 ,	1.329
0.05 ,	314 ,	1.625
0.05 ,	329 ,	1.935
0.05 ,	288 ,	1.149
0.05 ,	345 ,	2.146
0.05 ,	278 ,	1.307
0.05 ,	255 ,	0.647
0.05 ,	308 ,	1.373
0.05 ,	370 ,	1.809
0.05 ,	305 ,	1.511
0.05 ,	295 ,	1.039
0.05 ,	293 ,	0.901
0.05 ,	304 ,	1.198
0.05 ,	297 ,	1.702
0.05 ,	297 ,	1.136
0.05 ,	267 ,	0.774
0.05 ,	278 ,	0.868
0.05 ,	366 ,	1.746
0.05 ,	261 ,	0.854
0.05 ,	373 ,	2.055
0.05 ,	336 ,	1.559
0.05 ,	343 ,	2.131
0.05 ,	266 ,	0.925
0.05 ,	364 ,	2.029
0.05 ,	290 ,	1.227
0.05 ,	260 ,	1.035
0.05 ,	378 ,	2.948
0.05 ,	327 ,	1.863
0.05 ,	383 ,	1.677
0.05 ,	329 ,	1.323
0.05 ,	351 ,	1.994
0.05 ,	336 ,	1.55
0.05 ,	295 ,	1.146
0.05 ,	321 ,	1.203
0.05 ,	297 ,	0.895
0.05 ,	311 ,	1.629
0.05 ,	260 ,	0.676
0.05 ,	280 ,	0.921
0.05 ,	301 ,	1.252
0.05 ,	261 ,	1.308
0.05 ,	245 ,	0.904
0.05 ,	259 ,	1.221
0.05 ,	379 ,	1.578
0.05 ,	297 ,	1.317
0.05 ,	317 ,	1.459
0.05 ,	288 ,	1.399
0.05 ,	333 ,	1.9
0.05 ,	302 ,	2.675
0.05 ,	372 ,	2.945
0.05 ,	313 ,	1.326
0.05 ,	326 ,	2.01
0.05 ,	283 ,	1.543
0.05 ,	301 ,	1.036
0.05 ,	329 ,	1.332
0.05 ,	296 ,	1.662
0.05 ,	355 ,	1.655
0.05 ,	269 ,	0.683
0.05 ,	250 ,	0.773
0.05 ,	240 ,	1.171
0.05 ,	304 ,	1.594
0.05 ,	339 ,	1.923
0.05 ,	345 ,	2.025
0.05 ,	294 ,	1.267
0.05 ,	296 ,	1.303
0.05 ,	344 ,	1.748
0.05 ,	313 ,	1.785
0.05 ,	305 ,	1.467
0.05 ,	270 ,	1.873
0.05 ,	376 ,	1.565
0.05 ,	287 ,	1.213
0.05 ,	330 ,	1.493
0.05 ,	405 ,	2.125
0.05 ,	330 ,	1.63
0.05 ,	312 ,	1.629
0.05 ,	272 ,	0.841
0.05 ,	331 ,	1.595
0.05 ,	318 ,	1.998
0.05 ,	247 ,	0.884
0.05 ,	267 ,	1.321
0.05 ,	330 ,	1.623
0.05 ,	395 ,	3.391
0.05 ,	255 ,	1.164
0.05 ,	292 ,	1.453
0.05 ,	367 ,	1.486
0.05 ,	310 ,	0.949
0.05 ,	342 ,	1.22
0.05 ,	276 ,	0.853
0.05 ,	386 ,	1.633
0.05 ,	375 ,	1.723
0.05 ,	250 ,	1.197
0.05 ,	355 ,	2.624
0.05 ,	304 ,	1.523
0.05 ,	316 ,	1.689
0.05 ,	328 ,	2.39
0.05 ,	289 ,	1.988
0.05 ,	349 ,	1.389
0.05 ,	246 ,	0.821
0.05 ,	317 ,	1.28
0.05 ,	354 ,	2.103
0.05 ,	299 ,	2.085
0.05 ,	276 ,	1.449
0.05 ,	275 ,	1.037
0.05 ,	319 ,	1.323
0.05 ,	300 ,	1.667
0.05 ,	399 ,	2.079
0.05 ,	298 ,	1.355
0.05 ,	291 ,	1.251
0.05 ,	326 ,	2.391
0.05 ,	295 ,	1.106
0.05 ,	305 ,	1.853
0.05 ,	359 ,	2.481
0.05 ,	252 ,	0.642
0.05 ,	376 ,	1.906
0.05 ,	269 ,	0.959
0.05 ,	243 ,	0.952
0.05 ,	274 ,	1.554
0.05 ,	371 ,	2.397
0.05 ,	308 ,	1.351
0.05 ,	314 ,	1.559
0.05 ,	272 ,	1.042
0.05 ,	314 ,	1.251
0.05 ,	266 ,	1.015
0.05 ,	315 ,	0.95
0.05 ,	261 ,	0.731
0.05 ,	373 ,	1.549
0.05 ,	326 ,	2.326
0.05 ,	267 ,	0.987
0.05 ,	252 ,	1.163
0.05 ,	281 ,	1.123
0.05 ,	239 ,	0.406
0.05 ,	274 ,	2.094
0.05 ,	308 ,	1.062
0.05 ,	257 ,	0.73
0.05 ,	307 ,	1.676
0.05 ,	298 ,	0.729
0.05 ,	317 ,	1.342
0.05 ,	340 ,	1.521
0.05 ,	325 ,	2.412
0.05 ,	278 ,	0.717
0.05 ,	301 ,	1.399
0.05 ,	392 ,	3.148
0.05 ,	351 ,	1.682
0.05 ,	253 ,	0.896
0.05 ,	331 ,	1.843
0.05 ,	312 ,	1.336
0.05 ,	292 ,	1.057
0.05 ,	238 ,	0.674
0.05 ,	374 ,	2.469
0.05 ,	319 ,	1.508
0.05 ,	278 ,	1.138
0.05 ,	281 ,	0.684
0.05 ,	313 ,	1.274
0.05 ,	274 ,	0.983
0.05 ,	346 ,	2.343
0.05 ,	358 ,	1.709
0.05 ,	324 ,	1.367
0.05 ,	277 ,	1.147
0.05 ,	288 ,	1.108
0.05 ,	291 ,	0.838
0.05 ,	314 ,	1.484
0.05 ,	290 ,	1.169
0.05 ,	336 ,	2.19
0.05 ,	353 ,	1.728
0.05 ,	293 ,	1.086
0.05 ,	364 ,	1.665
0.05 ,	285 ,	1.065
0.05 ,	298 ,	2.591
0.05 ,	245 ,	0.861
0.05 ,	281 ,	1.275
0.05 ,	293 ,	1.95
0.05 ,	349 ,	2.283
0.05 ,	290 ,	1.257
0.05 ,	322 ,	1.501
0.05 ,	267 ,	0.912
0.05 ,	276 ,	1.139
0.05 ,	313 ,	1.22
0.05 ,	255 ,	0.818
0.05 ,	309 ,	1.884
0.05 ,	391 ,	2.15
0.05 ,	358 ,	2.012
0.05 ,	271 ,	1.086
0.05 ,	305 ,	1.467
0.05 ,	326 ,	2.042
0.05 ,	337 ,	1.133
0.05 ,	338 ,	1.75
0.05 ,	384 ,	3.317
0.05 ,	341 ,	1.242
0.05 ,	289 ,	2.126
0.05 ,	289 ,	1.546
0.05 ,	341 ,	1.675
0.05 ,	325 ,	2.326
0.05 ,	376 ,	1.729
0.05 ,	330 ,	1.83
0.05 ,	307 ,	0.852
0.05 ,	268 ,	0.544
0.05 ,	295 ,	0.852
0.05 ,	315 ,	1.477
0.05 ,	337 ,	1.321
0.05 ,	272 ,	0.697
0.05 ,	334 ,	1.605
0.05 ,	259 ,	1.59
0.05 ,	287 ,	0.909
0.05 ,	261 ,	1.311
0.05 ,	305 ,	1.162
0.05 ,	311 ,	0.829
0.05 ,	319 ,	1.865
0.05 ,	260 ,	1.101
0.05 ,	276 ,	0.706
0.05 ,	310 ,	0.784
0.05 ,	257 ,	0.692
0.05 ,	307 ,	2.247
0.05 ,	280 ,	1.63
0.05 ,	327 ,	2.754
0.05 ,	305 ,	1.652
0.05 ,	262 ,	1.155
0.05 ,	350 ,	2.252
0.05 ,	333 ,	1.617
0.05 ,	265 ,	0.88
0.05 ,	392 ,	1.349
0.05 ,	331 ,	1.69
0.05 ,	329 ,	1.833
0.05 ,	277 ,	0.976
0.05 ,	331 ,	1.333
0.05 ,	303 ,	1.925
0.05 ,	309 ,	1.332
0.05 ,	236 ,	0.534
0.05 ,	290 ,	1.025
0.05 ,	274 ,	1.1
0.05 ,	288 ,	2.31
0.05 ,	259 ,	0.755
0.05 ,	336 ,	1.84
0.05 ,	294 ,	1.355
0.05 ,	281 ,	1.381
0.05 ,	263 ,	1.283
0.05 ,	317 ,	1.689
0.05 ,	305 ,	2.315
0.05 ,	297 ,	1.359
0.05 ,	326 ,	1.431
0.05 ,	250 ,	1.034
0.05 ,	315 ,	2.081
0.05 ,	252 ,	0.579
0.05 ,	304 ,	2.043
0.05 ,	314 ,	2.204
0.05 ,	267 ,	1.33
0.05 ,	315 ,	1.319
0.05 ,	300 ,	1.223
0.05 ,	302 ,	1.187
0.05 ,	271 ,	0.608
0.05 ,	291 ,	2.145
0.05 ,	262 ,	0.567
0.05 ,	307 ,	1.09
0.05 ,	312 ,	1.409
0.05 ,	348 ,	1.165
0.05 ,	325 ,	1.576
0.05 ,	276 ,	1.587
0.05 ,	317 ,	1.01
0.05 ,	353 ,	1.729
0.05 ,	337 ,	1.996
0.05 ,	287 ,	1.126
0.05 ,	351 ,	2.222
0.05 ,	297 ,	1.286
0.05 ,	437 ,	2.431
0.05 ,	280 ,	0.755
0.05 ,	289 ,	1.272
0.05 ,	257 ,	0.873
0.05 ,	340 ,	1.175
0.05 ,	302 ,	1.365
0.05 ,	292 ,	1.324
0.05 ,	293 ,	1.011
0.05 ,	330 ,	2.348
0.05 ,	290 ,	1.417
0.05 ,	291 ,	0.946
0.05 ,	362 ,	1.675
0.05 ,	319 ,	1.683
0.05 ,	292 ,	1.165
0.05 ,	250 ,	0.661
0.05 ,	270 ,	0.72
0.05 ,	375 ,	2.079
0.05 ,	331 ,	1.255
0.05 ,	276 ,	0.945
0.05 ,	249 ,	0.638
0.05 ,	346 ,	2.202
0.05 ,	324 ,	1.699
0.05 ,	284 ,	1.64
0.05 ,	304 ,	1.243
0.05 ,	343 ,	2.523
0.05 ,	375 ,	3.574
0.05 ,	342 ,	2.09
0.05 ,	278 ,	0.926
0.05 ,	353 ,	2.049
0.05 ,	244 ,	1.033
0.05 ,	346 ,	1.915
0.05 ,	387 ,	2.198
0.05 ,	298 ,	1.327
0.05 ,	305 ,	1.808
0.05 ,	349 ,	1.885
0.05 ,	321 ,	2.329
0.05 ,	378 ,	3.272
